		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 1.205078	M = 625	N = 8	m = 9	n = 5000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
010110111    1    4    2    0    1    2    0    0 11.452690 0.177344 SUCCESS  65
010111011    0    1    0    1    4    1    1    0 10.453101 0.234652 SUCCESS  66
010111111    2    4    0    2    1    0    0    0 12.647564 0.124565 SUCCESS  67
011000111    0    0    0    1    0    1    2    2  6.064175 0.640043 SUCCESS  68
011001111    3    1    1    2    0    1    3    1  7.368275 0.497469 SUCCESS  69
011010111    1    2    0    2    4    1    0    1 10.257817 0.247395 SUCCESS  70
011011111    1    3    2    0    0    2    0    0  8.758432 0.363082 SUCCESS  71
011101111    0    1    1    0    1    2    1    2  3.674427 0.885239 SUCCESS  72
011111111    0    2    1    0    1    1    0    1  4.369506 0.822342 SUCCESS  73
100000000    2    0    0    2    3    0    1    1  7.563559 0.477220 SUCCESS  74
100010000    2    0    2    0    0    2    2    3  8.563148 0.380476 SUCCESS  75
100100000    2    1    1    1    2    1    3    0  5.173812 0.738848 SUCCESS  76
100101000    1    1    1    3    1    2    2    2  4.478733 0.811557 SUCCESS  77
100110000    2    2    3    0    2    0    1    2  7.368275 0.497469 SUCCESS  78
100111000    1    1    1    1    1    0    2    1  1.979759 0.981626 SUCCESS  79
101000000    0    3    1    1    2    0    4    0 13.647153 0.091439 SUCCESS  80
101000100    2    1    2    0    1    1    0    4 10.257817 0.247395 SUCCESS  81
101001000    0    1    6    0    2    2    1    1 23.120084 0.003213 FAILURE  82
101001100    1    1    3    0    3    2    3    1 10.062533 0.260664 SUCCESS  83
101010000    0    3    1    1    2    0    1    4 12.452280 0.132136 SUCCESS  84
101010100    1    0    0    1    1    2    1    1  3.174633 0.922925 SUCCESS  85
101011000    3    0    1    0    2    1    0    1  7.063764 0.529769 SUCCESS  86
101011100    1    3    4    0    1    1    1    1 10.757611 0.215815 SUCCESS  87
101100000    5    0    0    3    1    0    2    2 19.730747 0.011404 SUCCESS  88
101100100    1    0    1    1    1    3    1    0  5.369096 0.717496 SUCCESS  89
101101000    1    3    0    2    1    1    1    2  5.173812 0.738848 SUCCESS  90
101101100    2    0    1    3    0    4    1    0 13.647153 0.091439 SUCCESS  91
101110000    0    1    1    1    2    1    0    1  3.174633 0.922925 SUCCESS  92
101110100    1    2    3    1    2    1    2    1  4.478733 0.811557 SUCCESS  93
101111000    1    0    1    2    0    0    0    3  8.258638 0.408622 SUCCESS  94
101111100    3    0    2    2    0    1    2    0  8.063354 0.427306 SUCCESS  95
110000000    4    0    1    2    3    0    1    2 12.952074 0.113509 SUCCESS  96
110000010    2    0    0    0    0    2    1    3  8.758432 0.363082 SUCCESS  97
110000100    0    2    4    1    1    2    0    0 11.452690 0.177344 SUCCESS  98
110001000    1    0    1    4    0    1    1    3 11.952485 0.153337 SUCCESS  99
110001010    0    0    3    5    0    1    1    0 19.926032 0.010620 SUCCESS 100
110010000    1    1    0    0    1    0    2    0  5.564380 0.695897 SUCCESS 101
110010010    4    1    1    2    0    2    2    2 10.062533 0.260664 SUCCESS 102
110010100    2    2    3    1    1    0    4    1 11.757201 0.162370 SUCCESS 103
110011000    1    3    1    1    2    1    0    1  4.674017 0.791781 SUCCESS 104
110011010    1    2    0    1    2    2    0    2  4.674017 0.791781 SUCCESS 105
110100000    1    1    1    2    1    0    3    0  5.868891 0.661915 SUCCESS 106
110100010    1    1    1    0    0    2    0    2  4.869301 0.771450 SUCCESS 107
110100100    0    2    5    3    3    2    0    0 22.425005 0.004186 FAILURE 108
110101000    1    3    1    0    2    0    0    4 13.647153 0.091439 SUCCESS 109
110101010    1    3    1    0    2    2    1    2  5.673606 0.683739 SUCCESS 110
110101100    1    0    1    0    0    2    0    2  6.064175 0.640043 SUCCESS 111
110110000    2    0    1    4    0    0    1    0 12.147769 0.144732 SUCCESS 112
110110010    1    0    1    0    1    2    2    0  4.869301 0.771450 SUCCESS 113
110110100    1    2    3    1    2    0    0    1  6.368685 0.606007 SUCCESS 114
110111000    0    0    1    0    2    2    1    2  5.369096 0.717496 SUCCESS 115
110111010    1    1    5    0    2    0    1    1 15.341821 0.052830 SUCCESS 116
110111100    1    1    2    1    0    0    0    4 10.952895 0.204383 SUCCESS 117
111000000    1    0    2    0    3    0    1    1  7.063764 0.529769 SUCCESS 118
111000010    1    2    1    1    1    2    0    0  3.674427 0.885239 SUCCESS 119
111000100    1    1    2    3    0    1    1    3  7.368275 0.497469 SUCCESS 120
111000110    0    0    0    2    1    2    3    0  8.758432 0.363082 SUCCESS 121
111001000    2    3    0    0    0    2    3    0 11.452690 0.177344 SUCCESS 122
111001010    3    2    2    2    3    0    3    3 13.756380 0.088340 SUCCESS 123
111001100    2    1    0    1    0    1    0    1  4.369506 0.822342 SUCCESS 124
111010000    1    3    1    0    0    1    2    0  7.063764 0.529769 SUCCESS 125
111010010    0    2    3    4    3    2    0    1 15.646332 0.047731 SUCCESS 126
111010100    2    1    3    0    2    1    0    2  6.868480 0.550887 SUCCESS 127
111010110    1    0    0    1    0    2    0    2  6.064175 0.640043 SUCCESS 128
111011000    2    0    0    4    0    0    1    0 13.342642 0.100592 SUCCESS 129
111011010    1    1    4    1    3    1    0    1 10.757611 0.215815 SUCCESS 130
111011100    0    1    1    0    1    0    1    0  5.064585 0.750651 SUCCESS 131
111100000    1    0    1    0    2    0    1    1  4.369506 0.822342 SUCCESS 132
111100010    1    2    2    4    0    1    0    1 10.257817 0.247395 SUCCESS 133
111100100    2    1    0    1    0    1    3    2  6.368685 0.606007 SUCCESS 134
111100110    2    2    0    0    0    1    0    0  7.259048 0.508959 SUCCESS 135
111101000    0    2    1    0    0    2    0    0  7.259048 0.508959 SUCCESS 136
111101010    1    2    2    0    3    0    0    2  8.063354 0.427306 SUCCESS 137
111101100    3    1    0    3    2    0    2    1  9.062943 0.337014 SUCCESS 138
111101110    0    1    3    0    1    0    0    0  8.953716 0.346215 SUCCESS 139
111110000    0    0    1    0    2    2    1    0  6.064175 0.640043 SUCCESS 140
111110010    5    2    0    2    3    1    1    1 17.341000 0.026748 SUCCESS 141
111110100    0    3    0    0    0    0    0    0 11.343463 0.182987 SUCCESS 142
111110110    2    2    1    2    2    1    0    1  3.479143 0.900802 SUCCESS 143
111111000    0    1    3    2    1    2    0    0  7.563559 0.477220 SUCCESS 144
111111010    0    2    1    0    0    1    0    1  5.564380 0.695897 SUCCESS 145
111111100    1    3    2    1    1    2    0    0  6.368685 0.606007 SUCCESS 146
111111110    0    2    1    0    1    1    0    1  4.369506 0.822342 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 1.205078	M = 625	N = 8	m = 9	n = 5000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001    2    0    1    0    4    1    0    0 12.147769 0.144732 SUCCESS   0
000000011    1    0    2    1    2    2    1    0  4.174222 0.841072 SUCCESS   1
000000101    3    2    2    1    2    1    0    1  5.673606 0.683739 SUCCESS   2
000000111    1    0    2    1    2    2    1    0  4.174222 0.841072 SUCCESS   3
000001001    1    1    2    2    2    1    1    0  2.979349 0.935647 SUCCESS   4
000001011    4    2    0    1    0    1    1    1  9.758022 0.282422 SUCCESS   5
000001101    1    1    1    0    3    1    1    2  4.674017 0.791781 SUCCESS   6
000001111    2    2    2    0    2    0    2    0  6.368685 0.606007 SUCCESS   7
000010001    0    0    0    1    1    1    2    4 10.952895 0.204383 SUCCESS   8
000010011    0    3    1    1    4    1    2    1 11.257406 0.187536 SUCCESS   9
000010101    1    3    3    2    0    0    2    1  9.062943 0.337014 SUCCESS  10
000010111    3    1    0    1    1    1    1    2  4.674017 0.791781 SUCCESS  11
000011001    3    1    3    1    1    2    0    3 10.062533 0.260664 SUCCESS  12
000011011    0    1    1    2    1    1    0    0  4.369506 0.822342 SUCCESS  13
000011101    0    2    1    1    0    2    1    1  3.674427 0.885239 SUCCESS  14
000011111    2    2    2    0    1    1    4    0 10.757611 0.215815 SUCCESS  15
000100011    1    0    0    1    1    3    3    1  8.063354 0.427306 SUCCESS  16
000100101    0    3    2    1    0    3    2    0 10.257817 0.247395 SUCCESS  17
000100111    0    2    1    1    2    0    2    1  4.174222 0.841072 SUCCESS  18
000101001    2    1    2    2    3    0    0    1  6.868480 0.550887 SUCCESS  19
000101011    0    1    1    2    1    0    0    1  4.369506 0.822342 SUCCESS  20
000101101    2    1    0    1    0    1    1    3  5.868891 0.661915 SUCCESS  21
000101111    1    3    1    1    1    1    0    0  5.369096 0.717496 SUCCESS  22
000110011    3    1    2    2    0    1    0    5 18.535874 0.017549 SUCCESS  23
000110101    3    0    0    0    2    0    4    2 15.341821 0.052830 SUCCESS  24
000110111    0    0    1    2    1    0    1    0  5.564380 0.695897 SUCCESS  25
000111001    0    1    0    0    0    0    1    0  7.454332 0.488498 SUCCESS  26
000111011    0    1    1    0    3    2    1    0  7.063764 0.529769 SUCCESS  27
000111101    1    1    0    1    1    3    1    0  5.369096 0.717496 SUCCESS  28
000111111    1    2    1    1    1    1    4    0  8.563148 0.380476 SUCCESS  29
001000011    0    2    0    3    0    1    3    2 10.257817 0.247395 SUCCESS  30
001000101    0    0    1    2    0    0    1    4 12.147769 0.144732 SUCCESS  31
001000111    3    0    1    1    0    4    2    1 12.452280 0.132136 SUCCESS  32
001001011    2    3    0    2    2    1    1    0  6.868480 0.550887 SUCCESS  33
001001101    1    3    1    0    1    1    0    0  6.563969 0.584321 SUCCESS  34
001001111    2    1    1    0    2    1    3    1  5.173812 0.738848 SUCCESS  35
001010011    1    2    1    2    3    1    0    1  5.173812 0.738848 SUCCESS  36
001010101    2    3    2    1    0    2    2    0  7.368275 0.497469 SUCCESS  37
001010111    0    2    3    1    0    3    1    1  8.563148 0.380476 SUCCESS  38
001011011    1    2    0    1    1    0    3    2  6.368685 0.606007 SUCCESS  39
001011101    0    1    2    2    2    0    1    4 10.757611 0.215815 SUCCESS  40
001011111    0    3    0    0    1    0    1    0  8.953716 0.346215 SUCCESS  41
001100101    0    0    3    0    0    1    1    0  8.953716 0.346215 SUCCESS  42
001100111    1    1    1    3    1    1    0    4 10.757611 0.215815 SUCCESS  43
001101011    2    1    0    1    0    1    2    1  3.674427 0.885239 SUCCESS  44
001101101    4    2    0    1    3    1    2    0 12.952074 0.113509 SUCCESS  45
001101111    0    1    0    2    0    0    1    0  6.759253 0.562816 SUCCESS  46
001110101    1    0    1    4    1    2    1    1  8.563148 0.380476 SUCCESS  47
001110111    1    1    1    0    3    2    2    1  5.173812 0.738848 SUCCESS  48
001111011    1    0    0    2    3    1    1    2  6.368685 0.606007 SUCCESS  49
001111101    2    0    1    2    0    4    1    0 11.452690 0.177344 SUCCESS  50
001111111    1    2    2    1    3    0    2    4 12.256996 0.140100 SUCCESS  51
010000011    1    1    1    0    1    0    0    2  4.369506 0.822342 SUCCESS  52
010000111    0    2    0    1    0    0    2    1  6.064175 0.640043 SUCCESS  53
010001011    1    1    2    3    0    0    1    4 12.452280 0.132136 SUCCESS  54
010001111    2    1    1    1    1    3    1    0  4.674017 0.791781 SUCCESS  55
010010011    3    1    1    1    0    3    1    0  8.063354 0.427306 SUCCESS  56
010010111    1    3    0    2    2    0    0    1  7.563559 0.477220 SUCCESS  57
010011011    2    2    2    2    2    1    1    0  3.978938 0.859019 SUCCESS  58
010011111    2    1    3    1    2    2    2    1  4.978528 0.759869 SUCCESS  59
010100011    4    1    0    0    2    1    1    1  9.758022 0.282422 SUCCESS  60
010100111    1    2    3    2    1    0    1    0  6.368685 0.606007 SUCCESS  61
010101011    1    2    1    2    1    1    1    0  2.479554 0.962678 SUCCESS  62
010101111    0    2    2    0    0    2    2    1  5.868891 0.661915 SUCCESS  63
010110011    2    0    3    3    0    1    0    0 10.952895 0.204383 SUCCESS  64
010110111    3    1    0    3    1    0    3    1 10.757611 0.215815 SUCCESS  65
010111011    0    1    2    3    3    1    3    2 10.562327 0.227752 SUCCESS  66
010111111    1    2    1    0    1    0    2    0  4.869301 0.771450 SUCCESS  67
011000111    2    1    0    0    2    2    0    1  5.369096 0.717496 SUCCESS  68
011001111    2    1    0    5    3    1    0    2 18.535874 0.017549 SUCCESS  69
011010111    3    1    1    0    1    1    2    2  5.173812 0.738848 SUCCESS  70
011011111    0    1    0    1    0    0    2    2  6.064175 0.640043 SUCCESS  71
011101111    1    1    2    1    2    0    3    2  5.673606 0.683739 SUCCESS  72
011111111    0    0    1    0    3    1    1    2  7.063764 0.529769 SUCCESS  73
100000000    2    0    1    0    4    1    0    0 12.147769 0.144732 SUCCESS  74
100010000    0    1    2    0    0    0    1    0  6.759253 0.562816 SUCCESS  75
100100000    1    0    1    3    0    2    0    2  7.563559 0.477220 SUCCESS  76
100101000    0    1    2    0    1    2    0    1  4.869301 0.771450 SUCCESS  77
100110000    3    3    1    1    0    6    1    3 29.008394 0.000316 FAILURE  78
100111000    0    1    3    0    1    0    0    0  8.953716 0.346215 SUCCESS  79
101000000    0    1    1    0    2    0    0    2  6.064175 0.640043 SUCCESS  80
101000100    0    1    3    1    0    1    1    0  6.563969 0.584321 SUCCESS  81
101001000    0    1    0    3    0    2    0    2  8.758432 0.363082 SUCCESS  82
101001100    3    4    1    0    1    1    2    3 13.951664 0.083034 SUCCESS  83
101010000    0    2    3    0    2    0    4    2 14.646743 0.066389 SUCCESS  84
101010100    2    2    3    2    3    1    4    0 14.951253 0.060100 SUCCESS  85
101011000    1    2    1    0    0    0    1    1  4.369506 0.822342 SUCCESS  86
101011100    1    0    1    3    1    2    0    2  6.368685 0.606007 SUCCESS  87
101100000    0    1    3    3    2    0    0    1  9.758022 0.282422 SUCCESS  88
101100100    1    1    1    3    1    3    1    4 12.256996 0.140100 SUCCESS  89
101101000    2    2    0    0    1    0    1    1  4.869301 0.771450 SUCCESS  90
101101100    0    1    0    1    2    0    1    1  4.369506 0.822342 SUCCESS  91
101110000    3    0    0    2    2    0    0    2  9.258227 0.320983 SUCCESS  92
101110100    0    2    2    1    1    2    1    3  5.673606 0.683739 SUCCESS  93
101111000    2    1    1    2    3    2    1    1  4.478733 0.811557 SUCCESS  94
101111100    0    3    0    1    0    0    1    0  8.953716 0.346215 SUCCESS  95
110000000    3    0    3    2    4    1    1    0 15.146537 0.056358 SUCCESS  96
110000010    1    0    2    1    1    0    1    1  3.174633 0.922925 SUCCESS  97
110000100    0    3    1    0    3    1    3    3 13.451869 0.097219 SUCCESS  98
110001000    1    1    1    0    0    1    1    0  3.869712 0.868683 SUCCESS  99
110001010    2    1    1    2    2    1    0    0  4.174222 0.841072 SUCCESS 100
110010000    0    2    1    3    0    1    1    4 12.452280 0.132136 SUCCESS 101
110010010    3    0    1    1    1    1    1    1  4.174222 0.841072 SUCCESS 102
110010100    0    3    1    1    2    1    0    0  7.063764 0.529769 SUCCESS 103
110011000    1    2    0    1    1    4    2    1  9.062943 0.337014 SUCCESS 104
110011010    3    1    2    3    1    1    2    1  6.673196 0.572267 SUCCESS 105
110100000    1    3    1    0    0    0    3    1  9.258227 0.320983 SUCCESS 106
110100010    1    0    1    2    0    0    1    0  5.564380 0.695897 SUCCESS 107
110100100    1    0    1    3    0    3    0    2  9.758022 0.282422 SUCCESS 108
